,Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
276,Ryzen 5 Hexa Core,4.5,1 TB,16,INTEGRATED,0,No,40.64,2304000,60990.0
277,Core i9,5.0,1 TB,32,DEDICATED,16,No,39.62,3686400,281990.0
278,Core i7,4.7,1 TB,16,DEDICATED,4,No,40.64,4249600,94990.0
279,Ryzen 7 Octa Core,4.7,1 TB,16,INTEGRATED,0,No,33.78,2304000,77990.0
282,M1 Pro,,1 TB,16,INTEGRATED,0,No,41.15,7720704,243990.0
283,Core i7,4.8,1 TB,32,DEDICATED,8,No,43.94,3686400,197990.0
285,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,40.89,2073600,70990.0
286,Core i5,4.5,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,99990.0
288,Ryzen 5 Hexa Core,4.2,512 GB,8,INTEGRATED,0,Yes,35.56,2304000,56990.0
289,Core i3,3.7,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,53990.0
290,Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,62990.0
291,M2,,256 GB,8,INTEGRATED,0,No,34.54,4259840,107990.0
292,Core i5,4.6,512 GB,16,INTEGRATED,0,No,39.62,2073600,65990.0
294,Core i7,5.0,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,119990.0
295,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,46990.0
297,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,6,Yes,40.64,4096000,191990.0
298,Ryzen 3 Dual Core,3.5,256 GB,8,INTEGRATED,0,No,38.0,2073600,36790.0
299,Core i3,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,47490.0
301,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,35990.0
302,Ryzen 9 Octa Core,5.4,1 TB,16,DEDICATED,12,No,43.94,3686400,269990.0
303,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,54490.0
304,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,65990.0
306,Core i7,4.6,512 GB,8,DEDICATED,4,No,39.62,2073600,67990.0
308,Core i5,4.2,512 GB,16,INTEGRATED,0,No,39.62,2073600,48990.0
309,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,Yes,40.64,4096000,156990.0
310,Core i9,5.0,1 TB,16,DEDICATED,6,No,39.62,2073600,135990.0
311,Core i3,3.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,40690.0
313,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400,211990.0
314,Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,76990.0
315,Core i7,4.7,1 TB,16,INTEGRATED,0,No,39.62,2073600,85990.0
317,Ryzen 5 Hexa Core,2.1,512 GB,16,DEDICATED,2,No,35.56,2073600,64700.0
322,Core i7,4.6,1 TB,16,DEDICATED,6,No,39.62,2073600,113990.0
323,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,2073600,124990.0
324,Core i7,4.7,512 GB,16,DEDICATED,4,Yes,34.04,2304000,124990.0
325,M2,,512 GB,8,INTEGRATED,0,No,34.54,4259840,137990.0
326,Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000,69490.0
329,Ryzen 7 Octa Core,4.7,1 TB,16,INTEGRATED,0,Yes,34.04,2304000,94990.0
330,Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,47490.0
332,Core i3,,512 GB,8,INTEGRATED,0,No,39.62,1049088,37550.0
333,Core i7,4.7,1 TB,16,DEDICATED,6,No,39.62,3686400,129490.0
334,Core i5,4.4,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,77990.0
