Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Core i9,5.6,1 TB,32,DEDICATED,12,No,40.64,4096000,279990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,39.62,2073600,66490.0
Athlon Dual Core,3.2,512 GB,8,INTEGRATED,0,No,39.62,1049088,31990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,68990.0
Core i7,4.7,512 GB,16,DEDICATED,4,Yes,34.04,2304000,124990.0
Core i5,4.5,256 GB,8,DEDICATED,4,No,39.62,2073600,52990.0
Ryzen 5 Quad Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,52990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,35.56,5184000,97990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,39.62,2073600,62749.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,33.78,5184000,104990.0
MediaTek Kompanio 1200,2.6,256 GB,8,INTEGRATED,0,No,33.78,2073600,43990.0
Core i7,4.7,1 TB,32,DEDICATED,8,No,39.62,3686400,275990.0
Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,73990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,39990.0
Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,55490.0
Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,63990.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,3686400,150990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,38990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,35.56,2073600,59990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,38.0,2073600,43990.0
Ryzen 9 Octa Core,4.6,1 TB,8,DEDICATED,4,No,35.56,5184000,101990.0
Core i7,2.6,1 TB,16,DEDICATED,8,No,39.62,8294400,250000.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,2073600,109990.0
Core i7,4.7,1 TB,16,DEDICATED,4,No,40.64,2073600,162373.0
Ryzen 5 Hexa Core,4.5,1 TB,8,INTEGRATED,0,No,40.64,2304000,59990.0
Core i7,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600,94990.0
Ryzen 5 Hexa Core,4.2,512 GB,8,INTEGRATED,0,Yes,35.56,2304000,60990.0
Ryzen 7 Octa Core,4.7,1 TB,32,DEDICATED,4,Yes,34.04,2304000,147990.0
M2 Max,,1 TB,32,INTEGRATED,0,No,40.64,7720704,322490.0
M1 Max,,1 TB,32,INTEGRATED,0,No,41.15,7720704,309490.0
Core i9,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,84990.0
Core i9,5.0,1 TB,32,DEDICATED,8,No,43.94,3686400,334990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,38990.0
Core i7,4.7,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,109990.0
Ryzen 9 16 Core,5.4,2 TB,32,DEDICATED,12,No,40.64,4096000,379990.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400,174990.0
Core i5,4.2,512 GB,16,INTEGRATED,0,No,39.62,2073600,59500.0
Core i5,4.2,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,63990.0
Core i9,5.0,1 TB,16,DEDICATED,6,No,39.62,3686400,119990.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,2073600,123990.0
Core i7,4.6,512 GB,16,DEDICATED,4,No,38.0,2073600,99990.0
Core i3,3.8,256 GB,8,INTEGRATED,0,No,39.62,2073600,33990.0
Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,39.62,2073600,42490.0
Core i7,5.0,1 TB,16,DEDICATED,8,No,39.62,2073600,169990.0
Core i5,4.1,512 GB,8,DEDICATED,4,No,39.62,2073600,52990.0
Core i7,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,91141.0
Core i9,5.5,2 TB,32,DEDICATED,12,No,43.18,4096000,359990.0
Core i3,,256 GB,8,INTEGRATED,0,No,39.62,2073600,45490.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400,189990.0
Athlon Dual Core,3.2,256 GB,4,INTEGRATED,0,No,35.56,1049088,17990.0
Core i7,5.0,1 TB,32,DEDICATED,0,No,40.64,4096000,185990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,39990.0
Ryzen 3 Dual Core,3.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,36990.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,Yes,40.64,4096000,163391.0
Ryzen 5 Quad Core,4.2,512 GB,8,INTEGRATED,0,No,35.56,2073600,42990.0
Ryzen 7 Octa Core,4.7,2 TB,32,DEDICATED,6,No,40.64,2304000,213741.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,38.0,2073600,38499.0
Core i7,4.6,1 TB,16,DEDICATED,6,No,39.62,2073600,113990.0
Core i7,5.0,1 TB,16,DEDICATED,0,No,40.64,4096000,175990.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400,211990.0
M2,,512 GB,8,INTEGRATED,0,No,34.54,4259840,137990.0
Core i7,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600,85990.0
Ryzen 5 Quad Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,59990.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,52990.0
Core i5,4.6,1 TB,16,INTEGRATED,0,Yes,35.56,2073600,79990.0
Core i9,5.0,1 TB,32,DEDICATED,16,No,39.62,3686400,281990.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,79990.0
M2,,512 GB,8,INTEGRATED,0,No,34.54,4259840,137990.0
Ryzen 5 Hexa Core,2.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,44883.0
Core i9,5.0,1 TB,32,DEDICATED,8,No,39.62,3686400,225990.0
Core i5,4.4,256 GB,8,DEDICATED,4,No,39.62,2073600,65990.0
Celeron Dual Core,2.8,NO_SSD,4,INTEGRATED,0,Yes,29.46,1049088,18890.0
Core i7,5.0,1 TB,16,INTEGRATED,0,No,33.78,5184000,149990.0
Core i5,4.5,512 GB,16,DEDICATED,6,No,39.62,2073600,79990.0
M2 Pro,,512 GB,16,INTEGRATED,0,No,40.64,7720704,229990.0
Celeron Dual Core,2.8,256 GB,4,INTEGRATED,0,No,39.62,2073600,29100.0
M2,,256 GB,8,INTEGRATED,0,No,34.54,4259840,110490.0
Ryzen 7 Octa Core,4.4,1 TB,16,DEDICATED,6,No,39.62,3686400,131990.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,6,No,39.62,3686400,166990.0
Ryzen 7 Octa Core,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,76990.0
Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,54890.0
Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,53990.0
Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,61990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,48990.0
Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,52990.0
Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,62990.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,6,Yes,40.64,4096000,211990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,56479.0
Ryzen 9 Octa Core,4.6,1 TB,16,DEDICATED,10,No,39.62,2073600,109990.0
Ryzen 9 Octa Core,4.6,512 GB,16,DEDICATED,6,No,39.62,2073600,99990.0
Core i7,4.7,1 TB,16,DEDICATED,6,No,39.62,3686400,129490.0
Ryzen 7 Octa Core,4.7,512 GB,8,DEDICATED,4,No,39.62,2073600,89990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600,29990.0
Core i7,4.7,1 TB,16,DEDICATED,6,No,39.62,8294400,149990.0
Core i7,4.7,1 TB,16,DEDICATED,4,No,39.62,2073600,99990.0
Core i3,3.7,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,52639.0
Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,Yes,35.56,2304000,61990.0
Core i7,4.7,512 GB,16,DEDICATED,2,Yes,40.64,8294400,157375.0
Ryzen 5 Hexa Core,4.0,512 GB,8,DEDICATED,4,No,43.94,2073600,63990.0
Core i7,5.0,1 TB,16,INTEGRATED,0,Yes,40.64,5898240,146490.0
Core i7,,512 GB,16,INTEGRATED,0,No,39.62,2073600,64200.0
Core i9,5.3,1 TB,32,DEDICATED,8,No,39.62,8294400,325990.0
M2 Pro,,1 TB,16,INTEGRATED,0,No,35.56,5939136,229990.0
Core i9,5.0,1 TB,32,INTEGRATED,0,Yes,35.56,5184000,142990.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,80990.0
