product_id,product_link,product_description,product_image
COMGKNA67WWY7FM5,https://www.flipkart.com/product/p/item?pid=COMGKNA67WWY7FM5,ASUS ROG Zephyrus G15 (2022) Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3080) GA503RSZ-HQ061WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l58iaa80/computer/e/u/f/ga503rm-hq030ws-gaming-laptop-asus-original-imagfyjedtcx2vfw.jpeg?q=70
COMGZVGHMDQS67FQ,https://www.flipkart.com/product/p/item?pid=COMGZVGHMDQS67FQ,HP 15s (2023) Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0013TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/e/i/f/-original-imagpgzsk7rxgrrh.jpeg?q=70
COMG2KBG2K4GFFF7,https://www.flipkart.com/product/p/item?pid=COMG2KBG2K4GFFF7,Acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-75G-50TA/ A715-75G-41G/ A715-75G-52AA Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/kp1imq80/computer/u/b/z/na-gaming-laptop-acer-original-imag3d63hk3h8nm2.jpeg?q=70
COMGCFNZUUHGWNRZ,https://www.flipkart.com/product/p/item?pid=COMGCFNZUUHGWNRZ,Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
COMGHMH6YWR6B54T,https://www.flipkart.com/product/p/item?pid=COMGHMH6YWR6B54T,HP Pavilion Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-ek0086TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/b/e/s/14-ek0092tu-thin-and-light-laptop-hp-original-imaghubrzsyhm6wf.jpeg?q=70
COMGHJEAWQZNHHUQ,https://www.flipkart.com/product/p/item?pid=COMGHJEAWQZNHHUQ,APPLE 2022 MacBook AIR M2 - (16 GB/256 GB SSD/Mac OS Monterey) Z15W000Z5,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/1/n/p/-original-imagfdfew8gszzhk.jpeg?q=70
COMGARNUPNRQMWGD,https://www.flipkart.com/product/p/item?pid=COMGARNUPNRQMWGD,ASUS VivoBook Flip 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) TP470EA-EC512WS 2 in 1 Laptop,https://rukminim1.flixcart.com/image/416/416/l3t2fm80/computer/p/q/q/-original-imageuecysr3cuca.jpeg?q=70
COMGMXGVQSHDYHHZ,https://www.flipkart.com/product/p/item?pid=COMGMXGVQSHDYHHZ,ASUS ROG Strix SCAR 17 (2023) with 90WHr Battery Ryzen 9 Octa Core 7945HX - (16 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX 4080/240 HZ) G733PZ-LL046WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/q/g/6/-original-imagz42tn4xzhfag.jpeg?q=70
COMGCG2GXGJGEYUW,https://www.flipkart.com/product/p/item?pid=COMGCG2GXGJGEYUW,ASUS Vivobook S14 OLED Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM502WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/i/h/z/-original-imagqdrxngpdcjzh.jpeg?q=70
COMGMV6VPESBDVTU,https://www.flipkart.com/product/p/item?pid=COMGMV6VPESBDVTU,MSI Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-436IN Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/w/f/2/-original-imagnqmwqyhgztv3.jpeg?q=70
