product_id,product_link,product_description,product_image,Processor_Name,Processor_Generation,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,Refresh_Rate,price
COMGG3S93DSUQPMU,https://www.flipkart.com/product/p/item?pid=COMGG3S93DSUQPMU,HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/e/6/0/-original-imagp7pgftd3zehz.jpeg?q=70,Core i5,12th Gen,Max Turbo Boost at 4.4 GHz,512 GB,16 GB,Intel Integrated Iris Xe,,No,35.56 cm (14 inch),1920 x 1080 Pixels,,"72,999"
COMGCGSTVVGKQTVA,https://www.flipkart.com/product/p/item?pid=COMGCGSTVVGKQTVA,HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/f/1/z/-original-imagp7pfzd7vcysx.jpeg?q=70,Ryzen 5 Hexa Core,,4.3,512 GB,8 GB,AMD Radeon Radeon Graphics,,No,35.56 cm (14 Inch),1920 x 1080 Pixels,,"53,990"
COMGHYYKBZACVTBS,https://www.flipkart.com/product/p/item?pid=COMGHYYKBZACVTBS,HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15-fb0107AX Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/i/t/4/-original-imagz9f6yd4es4s3.jpeg?q=70,Ryzen 7 Octa Core,,3.2GHz upto 4.4 GHz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,Yes,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"74,990"
COMGZ4PN68RBKGFQ,https://www.flipkart.com/product/p/item?pid=COMGZ4PN68RBKGFQ,MSI Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) GF63 Thin 11SC-1400IN Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,Core i5,11th Gen,2.7Ghz upto 4.5 GHz,512 GB,16 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"54,990"
COMGN2YDSFGGXYG3,https://www.flipkart.com/product/p/item?pid=COMGN2YDSFGGXYG3,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70,Ryzen 5 Hexa Core,,"Base Frequency 2.1 GHz, Max Turbo Boost at 4.0 GHz",512 GB,16 GB,AMD Radeon AMD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,,"47,990"
COMGGKKZHDJBZXJX,https://www.flipkart.com/product/p/item?pid=COMGGKKZHDJBZXJX,HP Victus Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) 15-fa0070TX Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70,Core i5,12th Gen,"Base Clock 2.0 Ghz, Max Turbo Boost Frequency Up to 4.4 GHz",512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,144 Hz,"62,890"
COMGJ75HG3KKPEQS,https://www.flipkart.com/product/p/item?pid=COMGJ75HG3KKPEQS,DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Metal Laptop Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70,Core i5,12th Gen,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",512 GB,16 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"64,990"
COMGEG3ZNYZDAYVJ,https://www.flipkart.com/product/p/item?pid=COMGEG3ZNYZDAYVJ,HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/3/x/d/-original-imagp7pfqwvb2hhf.jpeg?q=70,Core i5,12th Gen,Upto 4.4 GHz,512 GB,16 GB,Intel Integrated UHD Graphics,,No,35.56 cm (14 inch),1920 x 1080 Pixels,,"66,990"
COMGG3S9DVFEZAFC,https://www.flipkart.com/product/p/item?pid=COMGG3S9DVFEZAFC,Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/l5fnhjk0/computer/b/f/k/inbook-x1-neo-thin-and-light-laptop-infinix-original-imagg49hqgt2ggzc.jpeg?q=70,Celeron Quad Core,,"Base Frequency 1.1 GHz, Max Turbo Frequency at 2.8 GHz",256 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),1920 x 1080 Pixels,,"22,990"
COMGAGRYXAWSHSRM,https://www.flipkart.com/product/p/item?pid=COMGAGRYXAWSHSRM,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Laptop,https://rukminim1.flixcart.com/image/416/416/ky90scw0/computer/k/7/k/ideapad-slim-82h801lgin-laptop-lenovo-original-imagagrpkzaxrcdc.jpeg?q=70,Core i3,11th Gen,,256 GB,8 GB,Intel Integrated UHD Graphics,,No,38.1 cm (15 inch),1920 x 1080 pixel,,"34,990"
