Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Core i5,4.6,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,65990.0
M2,,512 GB,8,INTEGRATED,0,No,34.54,4259840.0,137990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,42390.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600.0,52990.0
Core i7,4.7,512 GB,16,DEDICATED,6,No,40.64,2304000.0,99990.0
Celeron Quad Core,2.8,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,25990.0
Ryzen 5 Hexa Core,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,42990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,31990.0
Ryzen 7 Octa Core,4.7,1 TB,32,DEDICATED,8,No,40.64,4096000.0,191990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,66990.0
Core i5,4.5,256 GB,8,DEDICATED,4,No,39.62,2073600.0,49990.0
Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600.0,56990.0
M1,,512 GB,8,INTEGRATED,0,No,33.78,4096000.0,109990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600.0,33990.0
Core i5,4.2,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,64490.0
Core i5,4.6,1 TB,16,INTEGRATED,0,Yes,35.56,2073600.0,82100.0
Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,35.56,2073600.0,46990.0
Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600.0,56990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,51990.0
Core i5,4.6,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,62990.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,44990.0
Athlon Dual Core,3.2,512 GB,8,INTEGRATED,0,No,39.62,1049088.0,31990.0
Core i7,5.0,2 TB,16,DEDICATED,8,No,43.94,3686400.0,309990.0
M2 Pro,,1 TB,16,INTEGRATED,0,No,40.64,7720704.0,248490.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,35.56,2304000.0,72990.0
M2,,256 GB,8,INTEGRATED,0,No,34.54,4259840.0,106990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,37200.0
Core i7,5.0,1 TB,16,INTEGRATED,0,No,40.64,4096000.0,129990.0
Core i3,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,47490.0
M2,,256 GB,8,INTEGRATED,0,No,33.78,4096000.0,119990.0
Ryzen 5 Quad Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,52490.0
Core i7,4.7,1 TB,16,DEDICATED,8,No,43.94,2073600.0,165990.0
Core i7,5.0,512 GB,16,DEDICATED,6,No,40.64,2304000.0,124990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,68990.0
Core i9,5.4,1 TB,32,DEDICATED,12,No,40.64,4096000.0,299990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,3110400.0,54990.0
Celeron Quad Core,2.8,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,25990.0
Core i5,4.6,1 TB,8,INTEGRATED,0,No,39.62,2073600.0,67990.0
Core i7,4.7,1 TB,32,DEDICATED,8,No,43.94,2073600.0,300490.0
Core i7,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,80990.0
Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600.0,63990.0
Core i9,4.9,1 TB,16,DEDICATED,6,No,39.62,2073600.0,109990.0
M1 Pro,,512 GB,16,INTEGRATED,0,No,41.15,7720704.0,225090.0
Ryzen 3 Quad Core,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600.0,37500.0
Core i5,4.5,512 GB,16,INTEGRATED,0,Yes,35.56,2304000.0,79990.0
Ryzen 7 Octa Core,4.4,1 TB,16,DEDICATED,8,No,39.62,2073600.0,146990.0
Ryzen 9 Octa Core,4.4,1 TB,32,DEDICATED,8,No,35.56,4096000.0,176990.0
Core i9,5.0,1 TB,32,INTEGRATED,0,Yes,35.56,5184000.0,154990.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,43.94,2073600.0,64990.0
Celeron Dual Core,,128 GB,4,INTEGRATED,0,No,35.81,2073600.0,16990.0
M2 Pro,,1 TB,16,INTEGRATED,0,No,35.56,5939136.0,229990.0
Core i5,4.5,512 GB,16,DEDICATED,6,No,39.62,2073600.0,79990.0
Core i7,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600.0,91990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,38.0,2073600.0,38499.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,35.56,5184000.0,97990.0
M2,,512 GB,8,INTEGRATED,0,No,33.78,4096000.0,137990.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,3686400.0,140990.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,44990.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,40.89,2073600.0,59990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,45990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,2304000.0,60990.0
Core i5,4.4,256 GB,8,DEDICATED,2,No,39.62,2073600.0,69490.0
Core i5,4.2,512 GB,16,INTEGRATED,0,Yes,33.78,2073600.0,87990.0
M2 Pro,,512 GB,16,INTEGRATED,0,No,40.64,7720704.0,229990.0
Core i7,4.7,1 TB,16,DEDICATED,8,No,39.62,3686400.0,244990.0
Celeron Dual Core,2.8,NO_SSD,4,INTEGRATED,0,No,29.47000000000001,1049088.0,17990.0
Core i5,4.4,512 GB,16,DEDICATED,4,No,40.64,2304000.0,72990.0
Core i9,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,84990.0
Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,57990.0
Ryzen 9 Octa Core,4.6,1 TB,16,DEDICATED,10,No,39.62,2073600.0,109990.0
Core i5,4.7,1 TB,16,DEDICATED,6,Yes,36.83,5184000.0,199990.0
Core i3,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,38980.0
Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,45990.0
Core i7,4.7,512 GB,16,INTEGRATED,0,Yes,35.56,5184000.0,104990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,73990.0
